Date,Close,Open,High,Low,Volume,,,,,,,,,,,,
8/14/20,75.39,75.78,76.1,75.14,1344675,,,,,,,,,,,,
8/17/20,75.9,75.73,76.28,75.4,1378600,,,,,,,,,,,,
8/18/20,77.93,76.31,78.12,76.19,2027086,,,,,,,,,,,,
8/19/20,77.38,77.67,78.68,77.2,1659561,,,,,,,,,,,,
8/20/20,79.09,77.17,79.29,76.91,1695393,,,,,,,,,,,,
8/21/20,79.02,78.85,79.89,78.4,1443367,,,,,,,,,,,,
8/24/20,79.41,79.7,80.71,79.03,1410229,,,,,,,,,,,,
8/25/20,80.41,79.1,80.58,79.1,2247070,,,,,,,,,,,,
8/26/20,82.62,80.4,82.96,80.18,3992566,,,,,,,,,,,,
8/27/20,81.72,82.68,82.75,81.29,1849658,,,,,,,,,,,,
8/28/20,82.22,81.67,82.36,81.54,1499782,,,,,,,,,,,,
8/31/20,81.71,82.39,82.4,81.52,1742911,,,,,,,,,,,,
9/1/20,83.04,81.83,83.29,81.61,1800758,,,,,,,,,,,,
9/2/20,86.41,83.69,86.66,83.32,2472035,,,,,,,,,,,,
9/3/20,82.09,85.49,85.49,80.75,3096090,,,,,,,,,,,,
9/4/20,79.55,81.21,82.26,77.38,2596713,,,,,,,,,,,,
9/8/20,76.62,76.68,78.19,76.4,2568681,,,,,,,,,,,,
9/9/20,77.85,77.88,78.45,76.8,1695764,,,,,,,,,,,,
9/10/20,76.6,78.03,79.2,76.29,1609612,,,,,,,,,,,,
9/11/20,76.04,76.8,78.76,74.87,1584611,,,,,,,,,,,,
9/14/20,75.96,76.95,78.2,75.79,1665741,,,,,,,,,,,,
9/15/20,77.07,76.8,77.98,76.59,1304722,,,,,,,,,,,,
9/16/20,76.05,77.78,78.1,75.99,1300391,,,,,,,,,,,,
9/17/20,74.78,74.8,75.41,73.5,1842179,,,,,,,,,,,,
9/18/20,73,74.9,75.15,71.86,3092017,,,,,,,,,,,,
9/21/20,71.56,72,72.42,70.33,2857793,,,,,,,,,,,,
9/22/20,73.27,72.5,73.48,71.73,1570613,,,,,,,,,,,,
9/23/20,70.76,72.94,73.05,70.39,1641108,,,,,,,,,,,,
9/24/20,71.41,70.55,72.19,70.49,1445560,,,,,,,,,,,,
9/25/20,72.25,71.63,72.5,70.67,1313296,,,,,,,,,,,,
9/28/20,73.23,73.71,73.84,72.47,1917884,,,,,,,,,,,,
9/29/20,73.47,73.52,73.83,72.94,974336,,,,,,,,,,,,
9/30/20,73.48,73.34,74.49,72.99,1701608,,,,,,,,,,,,
10/1/20,74.5,74.21,74.95,73.96,1772850,,,,,,,,,,,,
10/2/20,72.92,73.1,74.16,72.55,1270022,,,,,,,,,,,,
10/5/20,74.3,73.31,74.41,73.21,1113257,,,,,,,,,,,,
10/6/20,72.67,73.78,74.34,72.43,1233918,,,,,,,,,,,,
10/7/20,73.01,73.21,73.45,71.8,1746156,,,,,,,,,,,,
10/8/20,74.3,73.25,74.5,73.25,1187831,,,,,,,,,,,,
10/9/20,75.76,74.74,75.83,74.47,1425867,,,,,,,,,,,,
10/12/20,78.46,77.15,79.69,76.63,2479073,,,,,,,,,,,,
10/13/20,78.58,79.19,79.5,78.16,1590857,,,,,,,,,,,,
10/14/20,78.4,78.93,79.38,77.53,1741983,,,,,,,,,,,,
10/15/20,77.96,77.36,78.76,77.25,1540817,,,,,,,,,,,,
10/16/20,78.65,78.29,79.06,78.15,1414831,,,,,,,,,,,,
10/19/20,76.73,79.02,79.41,76.4,1604919,,,,,,,,,,,,
10/20/20,77.8,76.35,78.88,76.28,2242572,,,,,,,,,,,,
